AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9040,Residential Advisors,broad,84760,1.8,,,,,21.15,43990,0.6,14.36,17.07,20.31,24,29.36,"29,870","35,510","42,240","49,920","61,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9041,Residential Advisors,detailed,84760,1.8,,,,,21.15,43990,0.6,14.36,17.07,20.31,24,29.36,"29,870","35,510","42,240","49,920","61,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9090,Miscellaneous Personal Care and Service Workers,broad,60420,4,,,,,19.29,40120,1.1,13.21,16.44,20,20.53,23.51,"27,480","34,180","41,600","42,710","48,910",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9099,"Personal Care and Service Workers, All Other",detailed,60420,4,,,,,19.29,40120,1.1,13.21,16.44,20,20.53,23.51,"27,480","34,180","41,600","42,710","48,910",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-0000,Sales and Related Occupations,major,13424300,0.3,,,,,26.43,54960,0.2,13.5,15.6,18.52,29.37,48,"28,080","32,440","38,530","61,100","99,850",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-1000,Supervisors of Sales Workers,minor,1336190,0.5,,,,,29.21,60750,0.3,16.55,19.4,24.79,33.82,45.98,"34,410","40,360","51,570","70,350","95,650",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-1010,First-Line Supervisors of Sales Workers,broad,1336190,0.5,,,,,29.21,60750,0.3,16.55,19.4,24.79,33.82,45.98,"34,410","40,360","51,570","70,350","95,650",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-1011,First-Line Supervisors of Retail Sales Workers,detailed,1121800,0.6,,,,,25.66,53380,0.2,15.92,18.55,23.33,29.87,37.06,"33,120","38,590","48,520","62,130","77,080",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,214390,1,,,,,47.77,99370,0.6,24.19,30.74,42.08,58.68,78.88,"50,320","63,940","87,520","122,050","164,070",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2000,Retail Sales Workers,minor,7679690,0.3,,,,,17.46,36320,0.2,12.84,14.18,16.74,18.27,22.73,"26,710","29,490","34,810","38,010","47,270",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2010,Cashiers,broad,3110940,0.6,,,,,15.97,33220,0.2,11.79,13.81,15.83,17.48,19.55,"24,520","28,730","32,930","36,350","40,670",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2011,Cashiers,detailed,3089410,0.6,,,,,15.95,33180,0.2,11.79,13.81,15.81,17.47,19.43,"24,530","28,720","32,880","36,330","40,410",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2012,Gambling Change Persons and Booth Cashiers,detailed,21530,2,,,,,18.8,39100,0.8,11.76,14.25,17.41,19.96,29.01,"24,460","29,630","36,220","41,530","60,330",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2020,Counter and Rental Clerks and Parts Salespersons,broad,670890,0.8,,,,,21.61,44950,0.3,13.87,16.86,19.25,24.05,30.79,"28,850","35,070","40,040","50,020","64,030",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2021,Counter and Rental Clerks,detailed,400810,1.3,,,,,21.97,45700,0.4,14.33,17.13,19.86,24.13,31.43,"29,800","35,630","41,300","50,190","65,370",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2022,Parts Salespersons,detailed,270070,1,,,,,21.07,43830,0.4,13.58,15.92,18.57,23.97,30.24,"28,240","33,110","38,630","49,850","62,890",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2030,Retail Salespersons,broad,3897860,0.3,,,,,17.94,37310,0.2,13.08,14.38,17.03,18.59,23.02,"27,210","29,900","35,410","38,670","47,890",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2031,Retail Salespersons,detailed,3897860,0.3,,,,,17.94,37310,0.2,13.08,14.38,17.03,18.59,23.02,"27,210","29,900","35,410","38,670","47,890",,
